Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster_K13,Cluster
Kyrie Irving,SG,30.0,DAL,20.0,20.0,38.2,0.51,0.392,0.585,0.586,0.947,9.235602094240837,18.094240837696333,2.7329842931937174,6.973821989528795,6.50261780104712,11.120418848167539,4.240837696335078,4.429319371727749,1.0366492146596857,3.7696335078534027,4.712041884816754,5.654450261780105,1.225130890052356,0.5654450261780104,1.7905759162303663,2.638743455497382,25.44502617801047,2,2
DeMar DeRozan,SF,33.0,CHI,74.0,74.0,36.2,0.504,0.324,0.526,0.522,0.872,8.850828729281767,17.502762430939224,0.5966850828729282,1.8895027624309388,8.25414364640884,15.613259668508285,6.16574585635359,7.0607734806629825,0.49723756906077343,4.176795580110497,4.574585635359115,5.071823204419888,1.0939226519337015,0.49723756906077343,2.0883977900552484,2.486187845303867,24.3646408839779,2,2
Zach LaVine,SG,27.0,CHI,77.0,77.0,35.9,0.485,0.375,0.556,0.558,0.848,8.724233983286908,18.050139275766014,2.6072423398328692,7.119777158774374,6.116991643454039,11.030640668523677,4.713091922005572,5.615598885793872,0.5013927576601672,3.9108635097493036,4.5125348189415035,4.211699164345404,0.902506963788301,0.20055710306406688,2.506963788300836,2.105849582172702,24.86908077994429,2,2
Jerami Grant,PF,28.0,POR,63.0,63.0,35.7,0.475,0.401,0.523,0.554,0.813,6.957983193277311,14.621848739495796,2.3193277310924367,5.747899159663865,4.6386554621848735,8.873949579831933,4.436974789915967,5.4453781512605035,0.8067226890756303,3.7310924369747895,4.53781512605042,2.4201680672268906,0.8067226890756303,0.8067226890756303,1.8151260504201678,2.4201680672268906,20.672268907563023,2,2
Mikal Bridges,SF-SG,26.0,TOT,83.0,83.0,35.7,0.468,0.382,0.514,0.535,0.895,7.159663865546218,15.428571428571427,2.0168067226890756,5.344537815126049,5.142857142857142,9.983193277310924,3.831932773109243,4.336134453781512,1.0084033613445378,3.4285714285714284,4.436974789915967,3.3277310924369745,1.1092436974789917,0.7058823529411763,1.5126050420168067,1.9159663865546215,20.26890756302521,2,2
Marcus Smart,PG,28.0,BOS,61.0,61.0,32.1,0.415,0.336,0.519,0.511,0.746,4.5981308411214945,11.102803738317757,2.130841121495327,6.280373831775701,2.4672897196261685,4.822429906542055,1.5700934579439252,2.130841121495327,0.897196261682243,2.691588785046729,3.4766355140186915,7.065420560747663,1.6822429906542056,0.4485981308411215,2.5794392523364484,3.1401869158878504,12.897196261682243,3,3
Mike Conley,PG,35.0,MIN,24.0,24.0,31.4,0.46,0.42,0.515,0.583,0.863,5.159235668789809,11.23566878980892,2.751592356687898,6.649681528662421,2.4076433121019107,4.585987261146497,2.980891719745223,3.4394904458598727,0.8025477707006369,2.8662420382165608,3.554140127388535,5.7324840764331215,1.375796178343949,0.22929936305732485,1.375796178343949,2.178343949044586,16.05095541401274,3,3
Kentavious Caldwell-Pope,SG,29.0,DEN,76.0,76.0,31.3,0.462,0.423,0.502,0.569,0.824,4.3706070287539935,9.54632587859425,2.070287539936102,4.830670926517572,2.415335463258786,4.715654952076677,1.610223642172524,1.8402555910543132,0.5750798722044728,2.645367412140575,3.1054313099041537,2.7603833865814695,1.7252396166134185,0.5750798722044728,1.2651757188498405,2.1853035143769968,12.421725239616615,3,3
Kyle Lowry,PG,36.0,MIA,55.0,44.0,31.2,0.404,0.345,0.509,0.514,0.859,4.153846153846154,10.153846153846155,2.192307692307692,6.461538461538462,1.8461538461538463,3.6923076923076925,2.4230769230769234,2.884615384615385,0.9230769230769231,3.8076923076923075,4.730769230769231,5.884615384615385,1.153846153846154,0.46153846153846156,2.192307692307692,3.0000000000000004,12.923076923076923,3,3
Mike Conley,PG,35.0,TOT,67.0,66.0,30.3,0.428,0.385,0.486,0.539,0.834,4.633663366336634,10.81188118811881,2.376237623762376,6.178217821782178,2.257425742574257,4.633663366336634,2.4950495049504955,2.9702970297029703,0.594059405940594,2.613861386138614,3.207920792079208,7.96039603960396,1.306930693069307,0.2376237623762376,1.782178217821782,2.4950495049504955,14.138613861386137,3,3
De'Andre Hunter,SF,25.0,ATL,67.0,67.0,31.7,0.461,0.35,0.521,0.522,0.826,6.473186119873818,13.96845425867508,1.7034700315457414,4.883280757097792,4.769716088328076,9.085173501577287,2.9526813880126186,3.520504731861199,0.7949526813880126,4.0883280757097795,4.769716088328076,1.5899053627760251,0.5678233438485805,0.34069400630914826,1.362776025236593,3.406940063091483,17.48895899053628,4,4
Jabari Smith Jr.,PF,19.0,HOU,79.0,79.0,31.0,0.408,0.307,0.487,0.475,0.786,5.341935483870968,13.122580645161293,1.7419354838709677,5.690322580645162,3.6,7.316129032258064,2.438709677419355,3.0193548387096776,1.7419354838709677,6.619354838709677,8.361290322580645,1.5096774193548388,0.5806451612903225,1.0451612903225806,1.5096774193548388,3.367741935483871,14.864516129032259,4,4
Luguentz Dort,SF,23.0,OKC,74.0,73.0,30.7,0.388,0.33,0.44,0.466,0.772,5.394136807817589,13.837133550488602,2.1107491856677525,6.449511400651466,3.2833876221498373,7.387622149837134,3.166123778501629,4.1042345276872965,1.993485342019544,3.400651465798046,5.394136807817589,2.462540716612378,1.1726384364820848,0.3517915309446254,1.4071661237785016,3.8697068403908794,16.06514657980456,4,4
Jaden McDaniels,SF,22.0,MIN,79.0,79.0,30.6,0.517,0.398,0.588,0.591,0.736,5.529411764705882,10.705882352941176,1.6470588235294117,4.0,3.88235294117647,6.705882352941177,1.5294117647058825,2.1176470588235294,1.4117647058823528,3.1764705882352944,4.588235294117647,2.2352941176470584,1.0588235294117647,1.1764705882352942,1.6470588235294117,4.0,14.235294117647058,4,4
Brook Lopez,C,34.0,MIL,78.0,78.0,30.4,0.531,0.374,0.637,0.606,0.784,7.223684210526315,13.61842105263158,2.013157894736842,5.565789473684211,5.210526315789474,8.171052631578949,2.25,2.8421052631578947,2.3684210526315788,5.565789473684211,7.93421052631579,1.5394736842105263,0.5921052631578947,2.960526315789474,1.657894736842105,3.0789473684210527,18.82894736842105,4,4
James Harden,PG,33.0,PHI,58.0,58.0,36.8,0.441,0.385,0.495,0.536,0.867,6.2608695652173925,14.184782608695652,2.739130434782609,7.043478260869565,3.5217391304347827,7.141304347826088,5.282608695652175,6.065217391304349,0.6847826086956522,5.282608695652175,5.967391304347826,10.467391304347826,1.1739130434782608,0.48913043478260876,3.3260869565217392,1.858695652173913,20.54347826086957,5,5
Fred VanVleet,PG,28.0,TOR,69.0,69.0,36.7,0.393,0.342,0.455,0.486,0.898,6.17983651226158,15.792915531335149,2.9427792915531334,8.632152588555858,3.2370572207084463,7.16076294277929,3.6294277929155316,4.021798365122615,0.39237057220708443,3.53133514986376,4.021798365122615,7.06267029972752,1.76566757493188,0.5885558583106266,1.961852861035422,2.746594005449591,18.931880108991827,5,5
Dejounte Murray,SG,26.0,ATL,74.0,74.0,36.4,0.464,0.344,0.514,0.514,0.832,8.20879120879121,17.604395604395606,1.7802197802197803,5.142857142857143,6.428571428571429,12.461538461538462,2.076923076923077,2.5714285714285716,0.6923076923076923,4.450549450549451,5.241758241758242,6.032967032967033,1.4835164835164836,0.2967032967032967,2.175824175824176,1.3846153846153846,20.274725274725274,5,5
Darius Garland,PG,23.0,CLE,69.0,69.0,35.5,0.462,0.41,0.492,0.537,0.863,7.707042253521126,16.630985915492957,2.4338028169014083,6.084507042253521,5.171830985915493,10.546478873239437,4.056338028169014,4.766197183098592,0.4056338028169014,2.332394366197183,2.738028169014085,7.909859154929577,1.2169014084507042,0.10140845070422536,2.9408450704225353,2.1295774647887327,21.90422535211268,5,5
CJ McCollum,SG,31.0,NOP,75.0,75.0,35.3,0.437,0.389,0.469,0.515,0.769,7.954674220963174,18.254957507082153,2.855524079320113,7.3427762039660065,5.09915014164306,10.912181303116148,2.4475920679886687,3.263456090651559,0.7138810198300283,3.6713881019830032,4.487252124645893,5.813031161473089,0.9178470254957508,0.5099150141643061,2.4475920679886687,2.0396600566572243,21.31444759206799,5,5
Dorian Finney-Smith,PF,29.0,DAL,40.0,40.0,32.2,0.416,0.355,0.559,0.54,0.75,3.5776397515527947,8.720496894409937,2.124223602484472,6.037267080745341,1.453416149068323,2.5714285714285707,0.8944099378881987,1.1180124223602483,1.9006211180124222,3.354037267080745,5.254658385093167,1.6770186335403725,1.1180124223602483,0.5590062111801242,1.0062111801242235,2.2360248447204967,10.17391304347826,6,6
Royce O'Neale,SF,29.0,BRK,76.0,53.0,31.7,0.386,0.389,0.379,0.524,0.725,3.406940063091483,8.858044164037855,2.384858044164038,6.246056782334385,1.0220820189274449,2.61198738170347,0.7949526813880126,1.0220820189274449,0.7949526813880126,4.883280757097792,5.79179810725552,4.201892744479496,1.0220820189274449,0.6813880126182965,1.7034700315457414,3.520504731861199,9.993690851735018,6,6
Al Horford,C,36.0,BOS,63.0,63.0,30.5,0.476,0.446,0.539,0.627,0.714,4.249180327868853,8.970491803278687,2.7147540983606553,6.137704918032788,1.534426229508197,2.8327868852459015,0.2360655737704918,0.3540983606557377,1.4163934426229507,5.9016393442622945,7.3180327868852455,3.540983606557377,0.5901639344262295,1.180327868852459,0.7081967213114754,2.242622950819672,11.567213114754098,6,6
Dorian Finney-Smith,PF,29.0,TOT,66.0,66.0,30.4,0.391,0.337,0.503,0.505,0.763,3.5526315789473686,9.0,2.013157894736842,6.039473684210526,1.4210526315789473,2.960526315789474,0.8289473684210525,1.0657894736842106,2.013157894736842,3.671052631578948,5.684210526315789,1.7763157894736843,0.9473684210526316,0.5921052631578947,1.0657894736842106,2.605263157894737,9.828947368421055,6,6
Reggie Bullock,SF,31.0,DAL,78.0,55.0,30.3,0.409,0.38,0.562,0.569,0.703,2.9702970297029703,7.128712871287128,2.257425742574257,6.059405940594059,0.594059405940594,1.0693069306930694,0.3564356435643564,0.594059405940594,0.4752475247524752,3.801980198019802,4.2772277227722775,1.6633663366336633,0.8316831683168316,0.2376237623762376,0.594059405940594,2.4950495049504955,8.554455445544555,6,6
Josh Hart,SF,27.0,POR,51.0,51.0,33.4,0.504,0.304,0.594,0.551,0.731,3.8802395209580838,7.652694610778443,0.7544910179640718,2.37125748502994,3.125748502994012,5.2814371257485035,1.8323353293413174,2.479041916167665,2.0479041916167664,6.790419161676647,8.838323353293413,4.203592814371258,1.18562874251497,0.2155688622754491,1.6167664670658684,2.8023952095808387,10.239520958083833,7,7
Josh Hart,SF,27.0,TOT,76.0,52.0,32.3,0.529,0.372,0.601,0.588,0.75,4.012383900928793,7.578947368421053,0.8916408668730652,2.452012383900929,3.1207430340557276,5.238390092879257,1.8947368421052633,2.563467492260062,2.1176470588235294,6.575851393188856,8.693498452012385,4.235294117647059,1.3374613003095974,0.33436532507739936,1.671826625386997,2.897832817337462,10.922600619195048,7,7
Draymond Green,PF,32.0,GSW,73.0,73.0,31.5,0.527,0.305,0.612,0.57,0.713,3.8857142857142852,7.428571428571428,0.5714285714285714,2.057142857142857,3.314285714285714,5.371428571428571,1.2571428571428571,1.7142857142857142,1.0285714285714285,7.199999999999999,8.228571428571428,7.7714285714285705,1.1428571428571428,0.9142857142857143,3.1999999999999997,3.5428571428571427,9.714285714285714,7,7
Josh Hart,SF,27.0,NYK,25.0,1.0,30.0,0.586,0.519,0.619,0.672,0.789,4.44,7.56,1.32,2.5200000000000005,3.12,5.040000000000001,2.16,2.76,2.28,6.24,8.4,4.32,1.6799999999999997,0.6,1.8,3.0,12.239999999999998,7,7
Herbert Jones,PF,24.0,NOP,66.0,66.0,29.6,0.469,0.335,0.536,0.525,0.764,4.378378378378378,9.243243243243242,0.972972972972973,3.0405405405405403,3.2837837837837838,6.202702702702703,2.3108108108108105,2.9189189189189184,1.8243243243243241,3.1621621621621623,4.986486486486486,3.0405405405405403,1.945945945945946,0.7297297297297296,1.5810810810810811,3.891891891891892,11.91891891891892,7,7
Nic Claxton,C,23.0,BRK,76.0,76.0,29.9,0.705,0.0,0.708,0.705,0.541,6.501672240802677,9.270903010033445,0.0,0.0,6.501672240802677,9.270903010033445,2.1672240802675584,3.852842809364549,2.8896321070234112,8.187290969899665,11.076923076923077,2.2876254180602005,1.0836120401337792,3.0100334448160533,1.5652173913043481,3.3712374581939795,15.17056856187291,8,8
Ivica Zubac,C,25.0,LAC,76.0,76.0,28.6,0.634,0.0,0.637,0.634,0.697,5.4125874125874125,8.559440559440558,0.0,0.0,5.4125874125874125,8.433566433566433,2.769230769230769,3.9020979020979016,3.9020979020979016,8.559440559440558,12.461538461538462,1.2587412587412585,0.5034965034965035,1.6363636363636365,1.8881118881118881,3.65034965034965,13.594405594405593,8,8
Steven Adams,C,29.0,MEM,42.0,42.0,27.0,0.597,0.0,0.599,0.597,0.364,4.933333333333334,8.4,0.0,0.0,4.933333333333334,8.266666666666666,1.4666666666666668,4.133333333333333,6.8,8.666666666666666,15.333333333333334,3.0666666666666664,1.2,1.4666666666666668,2.533333333333333,3.0666666666666664,11.466666666666665,8,8
Mitchell Robinson,C,24.0,NYK,59.0,58.0,27.0,0.671,0.0,0.671,0.671,0.484,4.266666666666667,6.266666666666667,0.0,0.0,4.266666666666667,6.266666666666667,1.3333333333333333,2.8,6.0,6.533333333333334,12.533333333333333,1.2,1.2,2.4,0.9333333333333333,3.6,9.866666666666667,8,8
Jalen Duren,C,19.0,DET,67.0,31.0,24.9,0.648,0.0,0.652,0.648,0.611,5.63855421686747,8.530120481927712,0.0,0.0,5.63855421686747,8.530120481927712,2.0240963855421685,3.325301204819277,4.9156626506024095,7.951807228915663,12.867469879518074,1.5903614457831328,1.0120481927710843,1.3012048192771086,2.0240963855421685,3.903614457831326,13.156626506024097,8,8
Kevin Durant,PF,34.0,BRK,39.0,39.0,36.0,0.559,0.376,0.622,0.607,0.934,10.5,18.8,1.8,4.8,8.7,14.0,6.8,7.3,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,9,9
Shai Gilgeous-Alexander,PG,24.0,OKC,68.0,68.0,35.5,0.51,0.345,0.533,0.531,0.905,10.546478873239437,20.585915492957746,0.9126760563380282,2.535211267605634,9.633802816901408,18.050704225352113,9.938028169014085,11.053521126760565,0.9126760563380282,4.056338028169014,4.867605633802817,5.577464788732394,1.6225352112676057,1.0140845070422535,2.8394366197183096,2.8394366197183096,31.842253521126757,9,9
Joel Embiid,C,28.0,PHI,66.0,66.0,34.6,0.548,0.33,0.587,0.573,0.857,11.445086705202312,20.913294797687865,1.0404624277456647,3.121387283236994,10.404624277456646,17.791907514450866,10.404624277456646,12.173410404624276,1.76878612716763,8.739884393063583,10.612716763005778,4.369942196531792,1.0404624277456647,1.76878612716763,3.53757225433526,3.2254335260115607,34.43930635838151,9,9
Anthony Davis,C,29.0,LAL,56.0,54.0,34.0,0.563,0.257,0.589,0.573,0.784,10.270588235294117,18.211764705882352,0.3176470588235294,1.3764705882352941,9.847058823529412,16.83529411764706,6.564705882352942,8.364705882352942,3.705882352941176,9.635294117647058,13.23529411764706,2.7529411764705882,1.1647058823529413,2.1176470588235294,2.3294117647058825,2.7529411764705882,27.423529411764704,9,9
Nikola Jokić,C,27.0,DEN,69.0,69.0,33.7,0.632,0.383,0.675,0.66,0.822,10.041543026706231,15.810089020771514,0.8545994065281899,2.3501483679525226,9.080118694362017,13.566765578635014,5.234421364985163,6.409495548961424,2.5637982195845694,10.041543026706231,12.6053412462908,10.468842729970326,1.3887240356083086,0.747774480712166,3.8456973293768546,2.6706231454005933,26.172106824925812,9,9
Kyrie Irving,PG-SG,30.0,TOT,60.0,60.0,37.4,0.494,0.379,0.574,0.572,0.905,9.529411764705882,19.3475935828877,2.9839572192513373,7.9893048128342254,6.545454545454546,11.358288770053477,3.946524064171123,4.427807486631016,0.9625668449197861,3.946524064171123,4.909090909090908,5.294117647058823,1.0588235294117647,0.770053475935829,2.021390374331551,2.6951871657754007,26.085561497326207,10,10
Pascal Siakam,PF,28.0,TOR,71.0,71.0,37.4,0.48,0.324,0.523,0.515,0.774,8.566844919786096,17.807486631016044,1.251336898395722,3.8502673796791442,7.315508021390374,13.957219251336898,5.005347593582888,6.449197860962568,1.7326203208556152,5.775401069518717,7.508021390374331,5.5828877005347595,0.8663101604278076,0.48128342245989303,2.310160427807487,3.080213903743316,23.294117647058826,10,10
Kyrie Irving,PG,30.0,BRK,40.0,40.0,37.0,0.486,0.374,0.569,0.565,0.883,9.72972972972973,19.945945945945947,3.2108108108108104,8.464864864864865,6.518918918918919,11.481081081081081,3.891891891891892,4.378378378378379,0.972972972972973,4.0864864864864865,4.962162162162161,5.156756756756757,0.972972972972973,0.7783783783783784,2.2378378378378376,2.6270270270270273,26.36756756756757,10,10
Anthony Edwards,SG,21.0,MIN,79.0,79.0,36.0,0.459,0.369,0.513,0.528,0.756,8.9,19.5,2.7,7.3,6.3,12.2,4.0,5.3,0.6,5.2,5.799999999999999,4.4,1.6,0.7,3.3,2.4,24.6,10,10
Jaylen Brown,SF,26.0,BOS,67.0,67.0,35.9,0.491,0.335,0.576,0.55,0.765,10.128133704735378,20.65738161559889,2.4066852367688023,7.320334261838441,7.7214484679665745,13.43732590529248,3.9108635097493036,5.114206128133705,1.2033426183844012,5.715877437325906,6.919220055710307,3.5097493036211698,1.1030640668523677,0.40111420612813375,2.9080779944289694,2.6072423398328692,26.674094707520894,10,10
Mikal Bridges,SF,26.0,PHO,56.0,56.0,36.4,0.463,0.387,0.503,0.529,0.897,6.230769230769231,13.45054945054945,1.7802197802197803,4.648351648351649,4.450549450549451,8.901098901098901,2.769230769230769,3.065934065934066,0.989010989010989,3.2637362637362637,4.252747252747253,3.5604395604395607,1.1868131868131868,0.7912087912087913,1.3846153846153846,2.076923076923077,17.01098901098901,11,11
OG Anunoby,SF,25.0,TOR,67.0,67.0,35.6,0.476,0.387,0.539,0.556,0.838,6.370786516853932,13.348314606741571,2.1235955056179776,5.561797752808989,4.247191011235955,7.786516853932584,2.1235955056179776,2.528089887640449,1.4157303370786516,3.5393258426966288,5.056179775280898,2.0224719101123596,1.9213483146067416,0.7078651685393258,2.0224719101123596,3.033707865168539,16.98876404494382,11,11
Spencer Dinwiddie,PG,29.0,BRK,26.0,26.0,35.3,0.404,0.289,0.488,0.465,0.797,5.609065155807365,13.971671388101983,1.7337110481586404,5.813031161473089,3.977337110481587,8.158640226628897,3.8753541076487252,4.793201133144477,0.3059490084985836,3.8753541076487252,4.181303116147308,9.280453257790368,1.1218130311614734,0.3059490084985836,2.1416430594900855,2.4475920679886687,16.827195467422097,11,11
Scottie Barnes,SF,21.0,TOR,77.0,76.0,34.8,0.456,0.281,0.505,0.487,0.772,6.206896551724139,13.655172413793105,0.8275862068965518,3.0000000000000004,5.379310344827586,10.655172413793105,2.5862068965517246,3.3103448275862073,2.3793103448275863,4.448275862068965,6.8275862068965525,4.9655172413793105,1.1379310344827587,0.8275862068965518,2.0689655172413794,2.2758620689655173,15.827586206896553,11,11
Chris Paul,PG,37.0,PHO,59.0,59.0,32.0,0.44,0.375,0.482,0.513,0.831,5.625,12.7125,1.9124999999999999,4.95,3.7125,7.7625,2.5875,3.0375,0.5625,4.2749999999999995,4.8374999999999995,10.012500000000001,1.6875,0.45,2.1374999999999997,2.3625000000000003,15.637500000000001,11,11
Jayson Tatum,SF,24.0,BOS,74.0,74.0,36.9,0.466,0.35,0.558,0.543,0.854,9.560975609756099,20.58536585365854,3.1219512195121957,9.073170731707318,6.439024390243903,11.51219512195122,7.024390243902439,8.195121951219512,1.0731707317073171,7.512195121951221,8.585365853658537,4.48780487804878,1.0731707317073171,0.6829268292682926,2.8292682926829267,2.1463414634146343,29.36585365853659,12,12
Damian Lillard,PG,32.0,POR,58.0,58.0,36.3,0.463,0.371,0.574,0.564,0.914,9.520661157024794,20.52892561983471,4.1652892561983474,11.206611570247935,5.355371900826447,9.322314049586778,8.727272727272728,9.520661157024794,0.7933884297520662,3.9669421487603307,4.760330578512397,7.239669421487603,0.8925619834710745,0.2975206611570248,3.272727272727273,1.884297520661157,31.933884297520667,12,12
Luka Dončić,PG,23.0,DAL,66.0,66.0,36.2,0.496,0.342,0.588,0.56,0.742,10.839779005524862,21.87845303867403,2.784530386740331,8.154696132596683,8.05524861878453,13.723756906077346,7.756906077348066,10.441988950276242,0.7955801104972375,7.756906077348066,8.552486187845304,7.955801104972375,1.3922651933701655,0.49723756906077343,3.580110497237569,2.486187845303867,32.22099447513812,12,12
Trae Young,PG,24.0,ATL,73.0,73.0,34.8,0.429,0.335,0.476,0.485,0.886,8.482758620689655,19.655172413793107,2.1724137931034484,6.517241379310345,6.310344827586207,13.13793103448276,8.068965517241379,9.10344827586207,0.8275862068965518,2.2758620689655173,3.1034482758620694,10.551724137931036,1.1379310344827587,0.10344827586206898,4.241379310344827,1.4482758620689655,27.10344827586207,12,12
Stephen Curry,PG,34.0,GSW,56.0,56.0,34.7,0.493,0.427,0.579,0.614,0.915,10.37463976945245,20.956772334293944,5.083573487031701,11.827089337175792,5.291066282420748,9.129682997118156,4.772334293948125,5.187319884726225,0.7262247838616713,5.602305475504323,6.328530259365993,6.536023054755043,0.9337175792507204,0.41498559077809793,3.3198847262247835,2.1786743515850144,30.5014409221902,12,12
