Player,Pos,MP,PTS_per36,AST_per36,TRB_per36,eFG%,Cluster_K13
Landry Shamet,SG,20.2,15.504950495049505,4.099009900990099,3.0297029702970297,0.502,0
Cedi Osman,SF,20.1,15.582089552238802,2.6865671641791042,4.119402985074626,0.56,0
Seth Curry,SG,19.9,16.64321608040201,2.8944723618090458,2.8944723618090458,0.568,0
Chris Duarte,SF,19.5,14.584615384615384,2.5846153846153843,4.615384615384615,0.452,0
AJ Griffin,SF,19.5,16.430769230769233,1.846153846153846,3.8769230769230774,0.56,0
Georges Niang,PF,19.4,15.216494845360824,1.8556701030927836,4.453608247422681,0.596,0
Jordan Nwora,SF,19.2,16.3125,2.625,6.9375,0.533,0
Isaiah Joe,SG,19.1,17.905759162303664,2.2617801047120416,4.523560209424083,0.599,0
Julian Champagnie,SF,18.8,18.574468085106382,1.1489361702127658,6.702127659574468,0.581,0
Terrence Ross,SG,18.4,17.608695652173914,3.91304347826087,6.456521739130435,0.53,0
Tre Mann,PG,17.7,15.661016949152543,3.6610169491525424,4.677966101694915,0.474,0
Kevin Knox,PF,17.1,17.894736842105264,1.894736842105263,6.94736842105263,0.516,0
Obi Toppin,PF,15.7,16.96815286624204,2.2929936305732483,6.420382165605095,0.548,0
Jordan Nwora,SF,15.7,13.757961783439491,2.2929936305732483,7.10828025477707,0.487,0
Kevin Knox,SF-PF,15.1,15.735099337748345,1.1920529801324504,6.675496688741722,0.556,0
Simone Fontecchio,SF,14.7,15.42857142857143,1.959183673469388,4.163265306122449,0.47,0
Svi Mykhailiuk,SF,14.6,17.01369863013699,4.191780821917808,4.191780821917808,0.566,0
Patty Mills,PG,14.2,15.71830985915493,3.549295774647887,2.7887323943661975,0.529,0
Kendrick Nunn,SG,13.8,18.52173913043478,3.391304347826087,4.173913043478261,0.512,0
Kendrick Nunn,SG,13.5,17.866666666666667,2.4,3.7333333333333334,0.488,0
Payton Pritchard,PG,13.4,15.044776119402984,3.4925373134328357,4.835820895522388,0.527,0
Terence Davis,SG,13.1,18.412213740458018,2.7480916030534353,6.045801526717558,0.545,0
Johnny Juzang,SG,12.9,13.395348837209301,1.1162790697674418,6.1395348837209305,0.409,0
Danny Green,SG,12.5,15.84,1.44,3.744,0.612,0
Bam Adebayo,C,34.6,21.225433526011557,3.329479768786127,9.572254335260116,0.541,1
Domantas Sabonis,C,34.6,19.8728323699422,7.595375722543352,12.797687861271676,0.632,1
Evan Mobley,PF,34.4,16.953488372093023,2.9302325581395348,9.418604651162791,0.566,1
Nikola Vučević,C,33.5,18.9134328358209,3.4388059701492537,11.82089552238806,0.573,1
Jarrett Allen,C,32.6,15.791411042944786,1.8773006134969323,10.822085889570552,0.645,1
Rudy Gobert,C,30.7,15.713355048859937,1.4071661237785016,13.602605863192183,0.659,1
Deandre Ayton,C,30.4,21.315789473684212,2.013157894736842,11.842105263157896,0.592,1
Aaron Gordon,PF,30.2,19.43046357615894,3.5761589403973515,7.867549668874172,0.603,1
Wendell Carter Jr.,C,29.6,18.486486486486484,2.7972972972972965,10.581081081081079,0.591,1
Myles Turner,C,29.4,22.040816326530614,1.7142857142857142,9.183673469387756,0.612,1
Alperen Şengün,C,28.9,18.435986159169552,4.858131487889274,11.211072664359861,0.565,1
Mason Plumlee,C,28.5,15.410526315789474,4.673684210526316,12.252631578947366,0.669,1
Jaren Jackson Jr.,C,28.4,23.5774647887324,1.267605633802817,8.619718309859156,0.567,1
Jakob Poeltl,C,27.2,17.33823529411765,2.9117647058823533,12.044117647058822,0.652,1
Jusuf Nurkić,C,26.8,17.865671641791046,3.8955223880597014,12.223880597014924,0.561,1
Clint Capela,C,26.6,16.240601503759397,1.218045112781955,14.887218045112782,0.653,1
Jakob Poeltl,C,26.5,16.9811320754717,3.667924528301887,12.362264150943396,0.629,1
Jakob Poeltl,C,26.1,16.689655172413794,4.275862068965518,12.413793103448274,0.616,1
Bobby Portis,PF,26.0,19.52307692307692,2.076923076923077,13.292307692307691,0.555,1
Mason Plumlee,C,26.0,14.953846153846154,4.292307692307692,12.323076923076924,0.68,1
Christian Wood,C,25.9,23.073359073359075,2.501930501930502,10.146718146718147,0.583,1
James Wiseman,C,25.2,18.142857142857142,1.0,11.57142857142857,0.537,1
Jonas Valančiūnas,C,24.9,20.3855421686747,2.6024096385542173,14.746987951807228,0.57,1
Marvin Bagley III,C,23.6,18.305084745762713,1.3728813559322033,9.76271186440678,0.554,1
Zach Collins,C,22.9,18.23580786026201,4.558951965065503,10.061135371179041,0.568,1
Bol Bol,PF,21.5,15.237209302325581,1.6744186046511627,9.711627906976743,0.577,1
Thomas Bryant,C,21.4,20.35514018691589,1.1775700934579438,11.4392523364486,0.691,1
Precious Achiuwa,C,20.7,16.0,1.5652173913043481,10.434782608695652,0.521,1
Brandon Clarke,PF,19.5,18.46153846153846,2.4,10.153846153846153,0.658,1
James Wiseman,C,19.3,18.65284974093264,1.305699481865285,11.00518134715026,0.563,1
Mark Williams,C,19.3,16.787564766839377,0.7461139896373057,13.243523316062175,0.637,1
Jalen Smith,C,18.8,18.0,1.9148936170212767,11.106382978723405,0.53,1
Naz Reid,C,18.4,22.5,2.1521739130434785,9.58695652173913,0.602,1
Thomas Bryant,C,18.3,19.278688524590166,0.9836065573770492,11.213114754098362,0.659,1
Hamidou Diallo,SF,17.8,18.808988764044948,2.0224719101123596,7.0786516853932575,0.58,1
Cody Zeller,C,14.5,16.137931034482758,1.7379310344827585,10.675862068965516,0.627,1
Jock Landale,C,14.2,16.732394366197184,2.535211267605634,10.394366197183098,0.559,1
Andre Drummond,C,12.7,17.007874015748033,1.4173228346456692,18.708661417322833,0.606,1
James Wiseman,C,12.5,19.872,2.016,10.080000000000002,0.633,1
Willy Hernangómez,C,12.1,20.528925619834716,2.677685950413223,13.983471074380166,0.536,1
Montrezl Harrell,C,11.9,16.941176470588232,1.8151260504201678,8.470588235294116,0.598,1
Dewayne Dedmon,C,11.7,17.53846153846154,1.5384615384615385,11.076923076923077,0.539,1
Thomas Bryant,C,11.4,14.526315789473683,0.3157894736842105,10.421052631578945,0.515,1
Dewayne Dedmon,C,11.2,16.714285714285715,2.25,11.25,0.55,1
Chimezie Metu,PF,10.4,16.96153846153846,2.0769230769230766,10.384615384615383,0.61,1
Kyrie Irving,SG,38.2,25.44502617801047,5.654450261780105,4.712041884816754,0.586,2
DeMar DeRozan,SF,36.2,24.3646408839779,5.071823204419888,4.574585635359115,0.522,2
Zach LaVine,SG,35.9,24.86908077994429,4.211699164345404,4.5125348189415035,0.558,2
Jerami Grant,PF,35.7,20.672268907563023,2.4201680672268906,4.53781512605042,0.554,2
Mikal Bridges,SF-SG,35.7,20.26890756302521,3.3277310924369745,4.436974789915967,0.535,2
Jalen Brunson,PG,35.0,24.685714285714287,6.377142857142857,3.6,0.547,2
Jalen Green,SG,34.2,23.26315789473684,3.894736842105263,3.894736842105263,0.485,2
Mikal Bridges,SG,34.2,27.473684210526315,2.8421052631578947,4.7368421052631575,0.543,2
RJ Barrett,SG,33.9,20.8141592920354,2.9734513274336285,5.3097345132743365,0.485,2
Tyrese Maxey,SG,33.6,21.75,3.7499999999999996,3.107142857142857,0.568,2
Keldon Johnson,SF,32.7,24.22018348623853,3.192660550458715,5.504587155963303,0.512,2
Franz Wagner,SF,32.6,20.539877300613497,3.8650306748466257,4.52760736196319,0.543,2
Kelly Oubre Jr.,SF,32.3,22.625386996904027,1.2260061919504646,5.795665634674924,0.497,2
Bojan Bogdanović,PF,32.1,24.22429906542056,2.9158878504672896,4.261682242990654,0.57,2
Bennedict Mathurin,SG,28.5,21.09473684210526,1.894736842105263,5.178947368421052,0.487,2
Norman Powell,SG,26.1,23.448275862068964,2.4827586206896552,4.0,0.559,2
Rui Hachimura,PF,24.3,19.25925925925926,1.7777777777777777,6.37037037037037,0.534,2
Collin Sexton,PG,23.9,21.539748953974897,4.368200836820083,3.313807531380754,0.558,2
Alec Burks,SG,22.0,20.94545454545455,3.6,5.072727272727272,0.544,2
Jaylen Nowell,SG,19.3,20.145077720207254,3.7305699481865284,4.849740932642487,0.502,2
Cam Thomas,SG,16.6,22.987951807228914,3.0361445783132526,3.6867469879518064,0.497,2
Brandon Boston Jr.,SF,11.3,20.707964601769913,2.8672566371681416,4.460176991150442,0.467,2
Marcus Smart,PG,32.1,12.897196261682243,7.065420560747663,3.4766355140186915,0.511,3
Mike Conley,PG,31.4,16.05095541401274,5.7324840764331215,3.554140127388535,0.583,3
Kentavious Caldwell-Pope,SG,31.3,12.421725239616615,2.7603833865814695,3.1054313099041537,0.569,3
Kyle Lowry,PG,31.2,12.923076923076923,5.884615384615385,4.730769230769231,0.514,3
Mike Conley,PG,30.3,14.138613861386137,7.96039603960396,3.207920792079208,0.539,3
Eric Gordon,SG,30.2,15.6158940397351,3.4569536423841063,2.503311258278146,0.528,3
Caris LeVert,SG,30.2,14.42384105960265,4.649006622516556,4.529801324503311,0.517,3
Mike Conley,PG,29.7,12.969696969696969,9.333333333333332,3.0303030303030303,0.511,3
Austin Reaves,SG,28.8,16.25,4.25,3.7499999999999996,0.616,3
Eric Gordon,SG,28.5,15.663157894736843,3.4105263157894736,2.4,0.547,3
Derrick White,SG,28.3,15.773851590106007,4.96113074204947,4.579505300353357,0.56,3
De'Anthony Melton,SG,27.9,13.03225806451613,3.3548387096774195,5.290322580645161,0.546,3
Andrew Nembhard,SG,27.6,12.391304347826086,5.869565217391305,3.5217391304347827,0.512,3
Cam Reddish,SF,27.6,14.347826086956522,2.478260869565217,3.782608695652174,0.523,3
Grayson Allen,SG,27.4,13.664233576642337,3.0218978102189777,4.335766423357664,0.571,3
Monte Morris,PG,27.3,13.582417582417582,6.989010989010988,4.483516483516483,0.555,3
Donte DiVincenzo,SG,26.3,12.866920152091256,4.7908745247148286,6.159695817490494,0.574,3
Victor Oladipo,SG,26.3,14.646387832699618,4.7908745247148286,4.106463878326997,0.484,3
Ayo Dosunmu,SG,26.2,11.81679389312977,3.5725190839694663,3.847328244274809,0.545,3
Gabe Vincent,PG,25.9,13.065637065637068,3.474903474903475,2.9189189189189193,0.505,3
Reggie Jackson,PG,25.7,15.268482490272376,4.902723735408561,3.08171206225681,0.493,3
Josh Green,SG,25.7,12.747081712062258,2.3813229571984436,4.202334630350195,0.626,3
Cam Reddish,SF,24.8,14.080645161290322,2.0322580645161286,3.1935483870967745,0.518,3
Reggie Jackson,PG,24.4,15.049180327868854,5.0163934426229515,3.0983606557377055,0.486,3
Tyus Jones,PG,24.3,15.25925925925926,7.703703703703703,3.7037037037037037,0.523,3
Josh Richardson,SG,23.5,15.472340425531915,4.136170212765958,4.136170212765958,0.528,3
Coby White,SG,23.4,14.923076923076922,4.3076923076923075,4.461538461538462,0.551,3
Josh Richardson,SG,23.2,11.637931034482758,2.4827586206896552,3.7241379310344827,0.53,3
Terance Mann,SG,23.1,13.714285714285715,3.584415584415584,5.298701298701298,0.593,3
Joe Ingles,SF,22.7,10.94273127753304,5.233480176211454,4.440528634361233,0.603,3
Terrence Ross,SG,22.5,12.8,2.08,3.2,0.533,3
Jevon Carter,PG,22.3,12.914798206278027,3.8744394618834077,4.0358744394618835,0.549,3
Taurean Prince,PF,22.1,14.823529411764705,2.606334841628959,3.9095022624434383,0.565,3
Cam Reddish,SF,21.9,13.808219178082194,1.6438356164383563,2.63013698630137,0.511,3
Jose Alvarado,PG,21.5,15.069767441860465,5.023255813953488,3.8511627906976744,0.496,3
Damion Lee,SG,20.4,14.470588235294118,2.294117647058824,5.294117647058823,0.564,3
Reggie Jackson,PG,19.9,14.291457286432163,5.608040201005025,3.2562814070351758,0.457,3
Cory Joseph,PG,19.8,12.545454545454547,6.363636363636363,3.090909090909091,0.527,3
Will Barton,SG,19.6,14.142857142857142,4.408163265306122,5.142857142857142,0.477,3
George Hill,PG,19.1,9.424083769633508,4.712041884816754,3.5811518324607325,0.534,3
R.J. Hampton,SG,18.5,14.205405405405404,1.945945945945946,4.475675675675675,0.516,3
Devonte' Graham,PG,18.3,14.557377049180328,5.311475409836065,3.344262295081967,0.512,3
Davion Mitchell,PG,18.1,11.138121546961324,4.574585635359115,2.585635359116022,0.533,3
George Hill,PG-SG,18.1,9.944751381215468,4.773480662983426,3.580110497237569,0.572,3
Ty Jerome,SG,18.1,13.723756906077346,5.966850828729282,3.3812154696132595,0.56,3
Will Barton,SG,17.7,13.830508474576272,4.067796610169491,4.88135593220339,0.47,3
Ricky Rubio,PG,17.2,10.88372093023256,7.325581395348837,4.395348837209303,0.402,3
Bryce McGowens,SG,17.1,11.157894736842104,2.526315789473684,4.2105263157894735,0.46,3
Evan Fournier,SG,17.0,12.91764705882353,2.7529411764705882,3.8117647058823527,0.443,3
Daishen Nix,PG,16.0,9.0,5.175,3.8249999999999997,0.426,3
R.J. Hampton,SG,16.0,14.4,2.475,4.2749999999999995,0.517,3
Jordan McLaughlin,PG,15.8,8.430379746835444,7.746835443037974,3.1898734177215187,0.503,3
Goran Dragić,PG,15.4,14.961038961038962,6.311688311688312,3.2727272727272725,0.5,3
Devonte' Graham,PG,15.3,12.470588235294118,5.176470588235294,3.2941176470588234,0.511,3
Ziaire Williams,SF,15.2,13.500000000000002,2.1315789473684212,4.973684210526316,0.492,3
George Hill,SG,15.1,12.397350993377485,4.529801324503311,3.8145695364238414,0.721,3
James Bouknight,SG,15.1,13.350993377483444,2.8609271523178808,5.006622516556292,0.443,3
Nickeil Alexander-Walker,SG,15.0,14.879999999999999,4.32,4.08,0.547,3
Goran Dragić,PG,15.0,15.12,6.24,3.3599999999999994,0.499,3
TyTy Washington Jr.,PG,14.0,12.085714285714287,3.8571428571428568,3.8571428571428568,0.422,3
R.J. Hampton,SG,13.9,14.762589928057555,3.366906474820144,3.884892086330935,0.518,3
MarJon Beauchamp,SF,13.5,13.6,1.8666666666666667,5.866666666666667,0.492,3
Aaron Holiday,PG,13.4,10.477611940298507,3.761194029850746,3.2238805970149254,0.5,3
Will Barton,SG,13.2,12.272727272727273,3.0000000000000004,4.363636363636364,0.443,3
Malachi Flynn,PG,13.0,12.738461538461538,3.6,3.8769230769230765,0.457,3
Miles McBride,PG,11.9,10.588235294117647,3.327731092436975,2.4201680672268906,0.451,3
Bryn Forbes,SG,10.7,12.112149532710282,2.3551401869158877,2.0186915887850465,0.446,3
Raul Neto,PG,10.5,11.314285714285713,5.485714285714286,3.4285714285714284,0.573,3
Jeff Dowtin,PG,10.4,8.307692307692307,4.153846153846153,3.1153846153846154,0.482,3
De'Andre Hunter,SF,31.7,17.48895899053628,1.5899053627760251,4.769716088328076,0.522,4
Jabari Smith Jr.,PF,31.0,14.864516129032259,1.5096774193548388,8.361290322580645,0.475,4
Luguentz Dort,SF,30.7,16.06514657980456,2.462540716612378,5.394136807817589,0.466,4
Jaden McDaniels,SF,30.6,14.235294117647058,2.2352941176470584,4.588235294117647,0.591,4
Brook Lopez,C,30.4,18.82894736842105,1.5394736842105263,7.93421052631579,0.606,4
John Collins,PF,30.0,15.719999999999999,1.44,7.800000000000001,0.557,4
Kelly Olynyk,C,28.6,15.734265734265733,4.6573426573426575,7.804195804195803,0.583,4
Isaiah Stewart,C,28.3,14.374558303886927,1.7809187279151943,10.303886925795052,0.518,4
Kenyon Martin Jr.,SF,28.0,16.32857142857143,1.9285714285714284,7.071428571428571,0.617,4
Jalen McDaniels,SF,26.7,14.292134831460674,2.696629213483146,6.47191011235955,0.513,4
Deni Avdija,SF,26.6,12.451127819548871,3.789473684210526,8.661654135338345,0.497,4
Jeremy Sochan,PF,26.0,15.23076923076923,3.4615384615384617,7.338461538461538,0.483,4
Aaron Nesmith,SF,24.9,14.602409638554217,1.8795180722891567,5.493975903614459,0.525,4
Jarred Vanderbilt,PF,24.1,12.398340248962656,4.033195020746888,11.800829875518673,0.587,4
Jalen McDaniels,SF,23.9,14.158995815899583,2.410041841004184,6.476987447698745,0.518,4
Rui Hachimura,PF,23.3,17.304721030042916,1.390557939914163,6.952789699570815,0.53,4
Sandro Mamukelashvili,C,23.3,16.686695278969957,3.708154506437768,10.506437768240342,0.52,4
Kenrich Williams,PF,22.8,12.631578947368421,3.1578947368421053,7.7368421052631575,0.59,4
Rui Hachimura,PF,22.4,15.42857142857143,1.125,7.55357142857143,0.525,4
Eugene Omoruyi,SF,21.9,15.945205479452055,1.6438356164383563,5.753424657534247,0.489,4
Santi Aldama,PF,21.8,14.862385321100916,2.146788990825688,7.9266055045871555,0.56,4
Jae'Sean Tate,SF,21.8,15.027522935779816,4.458715596330276,6.275229357798165,0.509,4
Keita Bates-Diop,PF,21.7,16.092165898617512,2.4884792626728114,6.138248847926268,0.568,4
Tari Eason,PF,21.5,15.572093023255816,1.8418604651162793,10.046511627906977,0.493,4
Jonathan Kuminga,PF,20.8,17.134615384615383,3.2884615384615383,5.884615384615385,0.579,4
Aleksej Pokusevski,PF,20.6,14.15533980582524,3.3203883495145625,8.213592233009708,0.51,4
Kevin Love,PF,20.0,15.299999999999999,3.42,12.239999999999998,0.511,4
Kevin Love,PF,20.0,13.86,3.42,10.260000000000002,0.496,4
Chris Boucher,PF,20.0,16.92,0.72,9.9,0.552,4
Kevin Love,PF,20.0,14.76,3.42,11.52,0.506,4
Romeo Langford,SG,19.6,12.673469387755102,2.204081632653061,4.959183673469387,0.498,4
Moritz Wagner,C,19.5,19.384615384615383,2.769230769230769,8.307692307692308,0.564,4
Jeff Green,PF,19.5,14.399999999999999,2.215384615384615,4.8,0.534,4
Trendon Watford,PF,19.1,13.94764397905759,3.958115183246073,7.162303664921465,0.599,4
Jeremiah Robinson-Earl,PF,18.9,12.952380952380954,1.9047619047619049,8.0,0.518,4
T.J. Warren,PF,18.8,18.19148936170213,2.1063829787234045,5.361702127659575,0.55,4
Josh Okogie,SG,18.8,13.978723404255318,2.8723404255319145,6.702127659574468,0.471,4
Jaylin Williams,C,18.7,11.358288770053477,3.080213903743316,9.433155080213906,0.534,4
Aaron Wiggins,SG,18.5,13.23243243243243,2.140540540540541,5.837837837837839,0.579,4
Jalen McDaniels,SF,17.5,13.782857142857143,1.6457142857142857,6.582857142857143,0.537,4
Mo Bamba,C,17.0,15.458823529411763,2.3294117647058825,9.741176470588234,0.596,4
Trey Lyles,PF,16.9,16.189349112426036,1.9171597633136097,8.733727810650887,0.565,4
Oshae Brissett,PF,16.7,13.149700598802395,1.5089820359281436,7.3293413173652695,0.461,4
T.J. Warren,PF-SF,16.4,16.463414634146343,2.1951219512195124,6.365853658536586,0.53,4
Eugene Omoruyi,SF,16.1,15.652173913043478,1.5652173913043474,6.26086956521739,0.498,4
Damian Jones,C,15.8,10.481012658227845,1.3670886075949364,7.974683544303797,0.816,4
Mo Bamba,C,15.7,15.13375796178344,2.0636942675159236,10.547770700636942,0.585,4
Stanley Johnson,SF,15.6,13.384615384615385,5.0769230769230775,7.384615384615385,0.607,4
Darius Bazley,C,15.4,12.623376623376624,2.103896103896104,7.948051948051948,0.506,4
Sandro Mamukelashvili,C,15.3,14.352941176470587,3.2941176470588234,10.117647058823529,0.487,4
Johnny Davis,SG,15.1,13.827814569536425,2.384105960264901,5.483443708609272,0.436,4
Jalen Johnson,SF,14.9,13.530201342281877,2.8993288590604025,9.664429530201343,0.537,4
Rudy Gay,PF,14.6,12.82191780821918,2.4657534246575343,7.150684931506849,0.437,4
Dario Šarić,PF,14.4,14.499999999999998,3.7499999999999996,9.5,0.503,4
Darius Bazley,C,14.3,13.090909090909092,2.2657342657342654,8.055944055944057,0.508,4
Dario Šarić,PF-C,14.1,16.340425531914896,3.319148936170213,9.191489361702128,0.54,4
Derrick Jones Jr.,PF,14.0,12.857142857142858,1.2857142857142856,6.171428571428572,0.559,4
JaMychal Green,PF,14.0,16.45714285714286,2.3142857142857145,9.257142857142858,0.623,4
Blake Griffin,C,13.9,10.618705035971221,3.884892086330935,9.841726618705035,0.573,4
Zeke Nnaji,PF,13.7,13.664233576642337,0.7883211678832117,6.832116788321168,0.605,4
Jarrett Culver,SF,13.7,11.56204379562044,1.5766423357664234,9.985401459854014,0.407,4
Dario Šarić,C,13.7,19.445255474452555,2.3649635036496353,8.671532846715328,0.606,4
Nikola Jović,PF,13.6,14.558823529411764,1.852941176470588,5.5588235294117645,0.464,4
Jamal Cain,PF,13.3,14.616541353383457,1.894736842105263,7.849624060150376,0.614,4
Jaxson Hayes,C,13.0,13.846153846153847,1.9384615384615382,7.753846153846153,0.561,4
T.J. Warren,SF,12.3,12.292682926829267,2.0487804878048776,9.073170731707316,0.471,4
Eugene Omoruyi,SF,11.8,14.949152542372882,1.5254237288135593,7.016949152542372,0.511,4
Serge Ibaka,C,11.6,12.724137931034482,0.9310344827586207,8.689655172413792,0.537,4
Gorgui Dieng,C,11.5,12.208695652173912,5.321739130434783,10.956521739130435,0.474,4
Isaiah Roby,PF,11.3,13.061946902654865,2.8672566371681416,7.9646017699115035,0.49,4
Jabari Walker,SF,11.1,12.64864864864865,1.945945945945946,7.45945945945946,0.46,4
Anthony Gill,PF,10.6,11.20754716981132,2.0377358490566038,5.773584905660377,0.553,4
James Harden,PG,36.8,20.54347826086957,10.467391304347826,5.967391304347826,0.536,5
Fred VanVleet,PG,36.7,18.931880108991827,7.06267029972752,4.021798365122615,0.486,5
Dejounte Murray,SG,36.4,20.274725274725274,6.032967032967033,5.241758241758242,0.514,5
Darius Garland,PG,35.5,21.90422535211268,7.909859154929577,2.738028169014085,0.537,5
CJ McCollum,SG,35.3,21.31444759206799,5.813031161473089,4.487252124645893,0.515,5
Terry Rozier,SG,35.3,21.518413597733716,5.201133144475921,4.181303116147308,0.484,5
LaMelo Ball,PG,35.2,23.829545454545453,8.59090909090909,6.545454545454546,0.51,5
Anfernee Simons,SG,35.0,21.702857142857145,4.217142857142857,2.6742857142857144,0.548,5
Tyler Herro,SG,34.9,20.73352435530086,4.332378223495702,5.570200573065904,0.531,5
Spencer Dinwiddie,SG-PG,34.5,18.05217391304348,6.782608695652174,3.5478260869565212,0.524,5
Kevin Porter Jr.,PG,34.3,20.151603498542276,5.982507288629739,5.56268221574344,0.522,5
Spencer Dinwiddie,SG,34.1,18.686217008797655,5.595307917888563,3.272727272727273,0.555,5
Tyrese Haliburton,PG,33.6,22.178571428571427,11.142857142857142,3.9642857142857144,0.586,5
D'Angelo Russell,PG,32.9,19.58662613981763,6.784194528875381,3.3920972644376906,0.567,5
Jamal Murray,PG,32.8,21.951219512195124,6.8048780487804885,4.390243902439025,0.537,5
Jrue Holiday,PG,32.6,21.312883435582823,8.171779141104293,5.631901840490797,0.556,5
Jordan Clarkson,SG,32.6,22.969325153374232,4.858895705521473,4.41717791411043,0.519,5
D'Angelo Russell,PG,32.5,19.716923076923077,6.867692307692308,3.3230769230769233,0.572,5
Desmond Bane,SG,31.7,24.41640378548896,4.996845425867509,5.678233438485804,0.568,5
Jaden Ivey,SG,31.1,18.868167202572348,6.019292604501608,4.514469453376206,0.477,5
Devin Vassell,SG,31.0,21.483870967741936,4.180645161290323,4.5290322580645155,0.525,5
D'Angelo Russell,PG,30.9,20.271844660194173,7.106796116504854,3.378640776699029,0.588,5
Russell Westbrook,PG,30.2,18.834437086092716,9.059602649006623,5.841059602649008,0.538,5
Jordan Poole,PG,30.0,24.479999999999997,5.3999999999999995,3.24,0.514,5
Malcolm Brogdon,PG,26.0,20.63076923076923,5.123076923076923,5.815384615384616,0.574,5
Josh Richardson,SG,23.7,17.468354430379748,5.012658227848101,4.253164556962025,0.527,5
Malik Monk,SG,22.3,21.79372197309417,6.295964125560538,4.197309417040358,0.538,5
John Wall,PG,22.2,18.48648648648649,8.432432432432433,4.378378378378379,0.457,5
Cameron Payne,PG,20.2,18.356435643564357,8.01980198019802,3.920792079207921,0.49,5
Talen Horton-Tucker,SG,20.2,19.06930693069307,6.772277227722772,5.702970297029703,0.467,5
Bones Hyland,PG,19.5,22.338461538461537,5.538461538461538,3.692307692307692,0.503,5
Bones Hyland,PG,19.4,21.896907216494846,5.75257731958763,4.453608247422681,0.502,5
Bones Hyland,PG,18.9,20.571428571428573,6.476190476190477,6.666666666666667,0.496,5
Jaden Hardy,SG,14.8,21.405405405405407,3.4054054054054053,4.621621621621621,0.533,5
Kendrick Nunn,SG,14.1,19.148936170212764,4.595744680851064,4.340425531914893,0.543,5
